date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:15:58	47905/47905	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Mar%202023%2022:48:32%20GMT	https://frutalesenmacetas.com/1/	C:/Users/sergi/Desktop/teste%20pvvvvv/s/frutalesenmacetas.com/1/index.html	(from )
05:15:58	72/72	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Apr%202023%2008:15:59%20GMT	https://frutalesenmacetas.com/robots.txt		(from )
05:15:59	21674/21674	---MC-	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202023%2008:16:00%20GMT	https://img.imageboss.me/atm/cdn/u/xYfjzLj2lBVs32Hu3uebeBa7Ijs2/l/IAqgmz0313700.png	C:/Users/sergi/Desktop/teste%20pvvvvv/s/img.imageboss.me/atm/cdn/u/xYfjzLj2lBVs32Hu3uebeBa7Ijs2/l/IAqgmz0313700.png	(from https://frutalesenmacetas.com/1/)
05:16:00	2768/2768	---MCZ	200	added ('OK')	application/javascript	etag:W/%220b43ed127e1cac73d6f85fcf3d9c4f95%22	https://scripts.converteai.net/f7bb97cc-a873-4ebe-892a-9f704d497d71/players/637813060539470009a345af/player.js	C:/Users/sergi/Desktop/teste%20pvvvvv/s/scripts.converteai.net/f7bb97cc-a873-4ebe-892a-9f704d497d71/players/637813060539470009a345af/player.js	(from https://frutalesenmacetas.com/1/)
05:16:01	732458/732458	---MCZ	200	added ('OK')	text/javascript	etag:W/%22e149594beca9bc953f23bacaa8316b8e%22	https://cdn.converteai.net/lib/js/smartplayer/v1/smartplayer.min.js	C:/Users/sergi/Desktop/teste%20pvvvvv/s/cdn.converteai.net/lib/js/smartplayer/v1/smartplayer.min.js	(from https://frutalesenmacetas.com/1/)
05:16:02	1220/1220	---M--	200	added ('OK')	image/jpeg	etag:%22781a4f444d3fb4faf3a3eb7db17cee61%22	https://images.converteai.net/f7bb97cc-a873-4ebe-892a-9f704d497d71/players/637813060539470009a345af/thumbnail.jpg	C:/Users/sergi/Desktop/teste%20pvvvvv/s/images.converteai.net/f7bb97cc-a873-4ebe-892a-9f704d497d71/players/637813060539470009a345af/thumbnail.jpg	(from https://frutalesenmacetas.com/1/)
05:16:02	1181/1181	---M--	200	added ('OK')	image/jpeg	etag:%229285cf4f7ffa89ded23d9fce3f62bb68%22	https://images.converteai.net/469edc51-5d17-40f6-8a17-cab445757642/players/6383af13f547de0009bde83b/thumbnail.jpg	C:/Users/sergi/Desktop/teste%20pvvvvv/s/images.converteai.net/469edc51-5d17-40f6-8a17-cab445757642/players/6383af13f547de0009bde83b/thumbnail.jpg	(from https://frutalesenmacetas.com/1/)
05:16:03	2886/2886	---MCZ	200	added ('OK')	application/javascript	etag:W/%224894570e378d6d5f52b3af9987448e39%22	https://scripts.converteai.net/469edc51-5d17-40f6-8a17-cab445757642/players/6383af13f547de0009bde83b/player.js	C:/Users/sergi/Desktop/teste%20pvvvvv/s/scripts.converteai.net/469edc51-5d17-40f6-8a17-cab445757642/players/6383af13f547de0009bde83b/player.js	(from https://frutalesenmacetas.com/1/)
05:16:04	8136/8136	---MC-	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202023%2008:16:04%20GMT	https://img.imageboss.me/atm/cdn/format:auto/u/xYfjzLj2lBVs32Hu3uebeBa7Ijs2/l/njfIQA1576689.png	C:/Users/sergi/Desktop/teste%20pvvvvv/s/img.imageboss.me/atm/cdn/format_auto/u/xYfjzLj2lBVs32Hu3uebeBa7Ijs2/l/njfIQA1576689.png	(from https://frutalesenmacetas.com/1/)
05:16:04	28247/28247	---MC-	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202023%2008:16:05%20GMT	https://img.imageboss.me/atm/cdn/format:auto/u/xYfjzLj2lBVs32Hu3uebeBa7Ijs2/l/XEvmnv8006305.png	C:/Users/sergi/Desktop/teste%20pvvvvv/s/img.imageboss.me/atm/cdn/format_auto/u/xYfjzLj2lBVs32Hu3uebeBa7Ijs2/l/XEvmnv8006305.png	(from https://frutalesenmacetas.com/1/)
